name,year,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter,v_id
Amy,1975,6,27,0,27.5,-79.0,tropical depression,-1,25,1013,,,0
Amy,1975,6,27,6,28.5,-79.0,tropical depression,-1,25,1013,,,1
Amy,1975,6,27,12,29.5,-79.0,tropical depression,-1,25,1013,,,2
Amy,1975,6,27,18,30.5,-79.0,tropical depression,-1,25,1013,,,3
Amy,1975,6,28,0,31.5,-78.8,tropical depression,-1,25,1012,,,4
Amy,1975,6,28,6,32.4,-78.7,tropical depression,-1,25,1012,,,5
Amy,1975,6,28,12,33.3,-78.0,tropical depression,-1,25,1011,,,6
Amy,1975,6,28,18,34.0,-77.0,tropical depression,-1,30,1006,,,7
Amy,1975,6,29,0,34.4,-75.8,tropical storm,0,35,1004,,,8
Amy,1975,6,29,6,34.0,-74.8,tropical storm,0,40,1002,,,9
Amy,1975,6,29,12,33.8,-73.8,tropical storm,0,45,1000,,,10
Amy,1975,6,29,18,33.8,-72.8,tropical storm,0,50,998,,,11
Amy,1975,6,30,0,34.3,-71.6,tropical storm,0,50,998,,,12
Amy,1975,6,30,6,35.6,-70.8,tropical storm,0,55,998,,,13
Amy,1975,6,30,12,35.9,-70.5,tropical storm,0,60,987,,,14
Amy,1975,6,30,18,36.2,-70.2,tropical storm,0,60,987,,,15
Amy,1975,7,1,0,36.2,-69.8,tropical storm,0,60,984,,,16
Amy,1975,7,1,6,36.2,-69.4,tropical storm,0,60,984,,,17
Amy,1975,7,1,12,36.2,-68.3,tropical storm,0,60,984,,,18
Amy,1975,7,1,18,36.7,-67.2,tropical storm,0,60,984,,,19
Amy,1975,7,2,0,37.4,-66.7,tropical storm,0,60,984,,,20
Amy,1975,7,2,6,37.3,-65.9,tropical storm,0,60,984,,,21
Amy,1975,7,2,12,37.3,-65.1,tropical storm,0,60,981,,,22
Amy,1975,7,2,18,37.3,-64.1,tropical storm,0,60,986,,,23
Amy,1975,7,3,0,37.7,-62.8,tropical storm,0,55,986,,,24
Amy,1975,7,3,6,38.2,-61.2,tropical storm,0,55,986,,,25
Amy,1975,7,3,12,39.3,-59.6,tropical storm,0,55,986,,,26
Amy,1975,7,3,18,40.5,-58.0,tropical storm,0,50,986,,,27
Amy,1975,7,4,0,42.5,-54.8,tropical storm,0,50,986,,,28
Amy,1975,7,4,6,44.5,-51.6,tropical storm,0,50,986,,,29
Caroline,1975,8,24,12,22.4,-69.8,tropical depression,-1,25,1011,,,30
Caroline,1975,8,24,18,21.9,-71.1,tropical depression,-1,25,1011,,,31
Caroline,1975,8,25,0,21.6,-72.5,tropical depression,-1,25,1010,,,32
Caroline,1975,8,25,6,21.2,-73.8,tropical depression,-1,25,1010,,,33
Caroline,1975,8,25,12,20.9,-75.1,tropical depression,-1,25,1011,,,34
Caroline,1975,8,25,18,20.6,-76.4,tropical depression,-1,25,1011,,,35
Caroline,1975,8,26,0,20.4,-77.7,tropical depression,-1,25,1011,,,36
Caroline,1975,8,26,6,20.3,-79.0,tropical depression,-1,25,1011,,,37
Caroline,1975,8,26,12,20.2,-80.3,tropical depression,-1,25,1012,,,38
Caroline,1975,8,26,18,20.2,-81.6,tropical depression,-1,25,1012,,,39
Caroline,1975,8,27,0,20.4,-82.8,tropical depression,-1,25,1013,,,40
Caroline,1975,8,27,6,20.8,-84.0,tropical depression,-1,25,1013,,,41
Caroline,1975,8,27,12,21.1,-85.1,tropical depression,-1,25,1014,,,42
Caroline,1975,8,27,18,21.5,-86.3,tropical depression,-1,25,1014,,,43
Caroline,1975,8,28,0,22.0,-87.5,tropical depression,-1,25,1014,,,44
Caroline,1975,8,28,6,22.4,-88.8,tropical depression,-1,25,1014,,,45
Caroline,1975,8,28,12,22.8,-90.1,tropical depression,-1,25,1013,,,46
Caroline,1975,8,28,18,22.9,-91.0,tropical depression,-1,25,1010,,,47
Caroline,1975,8,29,0,23.0,-91.9,tropical depression,-1,30,1007,,,48
Caroline,1975,8,29,6,23.1,-92.6,tropical storm,0,35,1003,,,49
Caroline,1975,8,29,12,23.2,-93.2,tropical storm,0,40,999,,,50
Caroline,1975,8,29,18,23.2,-93.6,tropical storm,0,50,994,,,51
Caroline,1975,8,30,0,23.3,-94.2,hurricane,1,65,990,,,52
Caroline,1975,8,30,6,23.5,-94.9,hurricane,1,65,990,,,53
Caroline,1975,8,30,12,23.7,-95.6,hurricane,1,65,989,,,54
Caroline,1975,8,30,18,23.8,-96.3,hurricane,1,70,987,,,55
Caroline,1975,8,31,0,24.0,-97.0,hurricane,3,100,973,,,56
Caroline,1975,8,31,6,24.1,-97.5,hurricane,3,100,963,,,57
Caroline,1975,8,31,12,24.3,-97.8,hurricane,2,90,963,,,58
